datetime,pm25,pm10,no2,o3,co,so2,temperature_2m_mean,wind_speed_10m_max,precipitation_sum,relative_humidity_2m_mean
2025-08-01,4.27,11.5,16.8,13.8,90.8,1.58,16.4,16.2,1.2,73
2025-08-02,6.57,15.1,23.1,10.6,151.0,1.86,16.7,10.0,0.0,64
2025-08-03,5.48,14.0,17.2,8.98,101.0,2.18,18.4,17.2,2.5,75
2025-08-04,5.43,14.7,14.8,22.6,96.1,1.49,19.1,24.0,1.0,79
2025-08-05,6.39,18.3,26.5,30.9,183.0,2.24,17.1,19.7,0.0,58
2025-08-06,8.74,24.7,22.6,45.5,153.0,1.79,17.2,12.3,0.0,60
2025-08-07,9.91,21.1,26.0,35.6,182.0,1.97,18.9,19.8,0.0,66
2025-08-08,6.83,18.3,21.9,35.6,140.0,1.49,20.3,13.7,0.0,57
2025-08-09,8.91,22.4,23.7,41.7,201.0,1.55,19.7,17.1,0.0,52
2025-08-10,14.7,29.5,35.1,53.1,220.0,2.16,20.8,8.3,0.0,55
2025-08-11,13.7,34.0,32.5,73.3,203.0,2.41,22.9,12.2,0.5,54
2025-08-12,16.6,36.2,38.4,39.9,250.0,2.3,24.8,13.3,0.6,53
2025-08-13,13.0,28.2,23.3,37.4,179.0,2.01,22.0,14.6,0.0,71
2025-08-14,5.43,16.0,12.5,36.4,99.4,1.21,21.9,13.1,0.0,65
2025-08-15,6.52,17.9,5.74,54.3,64.5,1.11,23.0,15.1,0.0,61
2025-08-16,6.09,15.9,9.58,49.1,104.0,1.29,19.3,13.4,0.1,69
2025-08-17,4.26,15.0,9.4,48.5,83.1,1.29,18.2,12.9,0.0,69
2025-08-18,5.17,16.1,12.4,58.9,109.0,1.56,18.8,13.6,0.2,70
2025-08-19,5.3,19.0,7.62,55.1,59.7,1.17,19.4,16.5,0.1,69
2025-08-20,4.04,18.9,7.13,52.4,69.9,1.19,17.2,17.1,0.0,65
2025-08-21,3.61,14.2,23.9,43.4,117.0,1.69,16.7,14.6,0.1,62
2025-08-22,4.87,15.7,19.7,47.7,151.0,1.64,17.5,9.9,0.0,53
2025-08-24,5.04,16.0,29.4,51.0,246.0,2.03,19.3,9.7,0.0,55
2025-08-25,6.48,20.7,36.6,36.5,198.0,2.62,20.7,12.6,0.0,49
2025-08-26,7.39,23.7,24.6,38.3,179.0,2.45,21.0,18.9,0.2,58
2025-08-27,6.91,22.8,26.5,28.7,142.0,2.18,18.2,20.8,1.3,74
2025-08-28,5.3,17.3,28.5,30.7,137.0,1.34,17.0,19.6,2.4,74
2025-08-29,5.87,17.0,20.4,22.5,118.0,1.23,16.5,14.8,19.5,81
2025-08-30,4.78,17.9,19.6,33.4,81.6,0.803,16.9,23.3,2.0,82
