datetime,pm25,pm1,temperature_2m_mean,wind_speed_10m_max,precipitation_sum,relative_humidity_2m_mean
2025-08-01,6.01,4.1,21.9,14.8,9.7,73
2025-08-02,7.47,4.81,20.2,11.5,10.6,82
2025-08-03,4.98,3.45,20.9,8.4,0.0,73
2025-08-04,9.6,7.0,22.9,7.3,0.0,69
2025-08-05,14.2,10.5,23.9,8.5,0.0,68
2025-08-06,12.1,8.64,24.0,12.5,2.2,69
2025-08-07,24.6,17.5,24.6,12.5,0.9,66
2025-08-08,30.9,21.5,27.3,4.3,0.0,61
2025-08-09,36.4,24.6,29.5,8.1,0.0,53
2025-08-10,32.1,21.8,30.4,9.4,0.0,58
2025-08-11,33.3,22.0,30.0,11.8,0.0,55
2025-08-12,35.6,23.1,29.4,10.0,0.0,56
2025-08-13,35.8,22.9,29.8,9.1,0.0,56
2025-08-14,27.0,17.5,28.8,9.2,3.0,66
2025-08-15,13.7,9.17,29.7,9.4,0.0,53
2025-08-16,19.0,12.6,29.2,10.4,0.0,49
2025-08-17,20.2,13.3,28.2,9.0,0.0,49
2025-08-18,20.6,13.1,26.9,9.2,0.0,56
2025-08-19,17.9,10.8,25.4,13.8,13.5,65
2025-08-20,9.31,5.94,21.2,11.4,42.5,90
2025-08-21,7.02,4.47,20.2,8.8,5.4,86
2025-08-22,15.7,10.4,22.0,14.3,7.8,80
2025-08-23,15.9,10.8,21.4,10.3,5.7,81
2025-08-24,15.8,11.3,20.2,13.7,21.4,80
2025-08-25,28.5,19.1,21.3,6.0,0.3,77
2025-08-26,36.5,22.6,22.6,4.7,0.0,76
2025-08-27,27.2,16.4,22.3,10.7,1.9,84
2025-08-28,11.6,6.6,20.8,21.5,59.5,92
2025-08-29,2.67,1.6,18.9,13.5,25.5,90
2025-08-30,4.11,2.79,19.6,12.3,10.4,77
2025-08-31,13.0,8.96,20.8,8.2,0.0,76
2025-09-01,9.2,5.94,20.2,9.6,16.2,81
2025-09-02,11.7,8.2,19.6,10.5,7.9,83
2025-09-03,18.5,13.2,20.8,5.1,0.1,78
2025-09-04,10.6,7.42,21.6,7.3,5.1,78
2025-09-05,6.56,4.37,20.7,10.3,1.9,76
2025-09-06,13.6,9.42,20.3,7.6,0.0,69
2025-09-07,23.4,15.9,21.0,4.4,0.0,73
2025-09-08,43.4,27.9,20.1,4.5,0.0,80
2025-09-09,10.1,7.05,20.7,7.4,9.2,84
2025-09-10,17.3,11.7,19.5,15.5,42.5,89
2025-09-11,7.1,4.86,20.2,9.7,2.0,84
2025-09-12,15.6,10.6,20.4,12.3,8.4,80
2025-09-13,13.5,9.14,19.3,9.8,2.5,84
2025-09-14,12.9,8.35,20.1,8.9,0.7,81
2025-09-23,7.18,4.81,17.3,11.2,60.0,85
2025-09-24,14.5,9.51,15.2,15.1,12.1,84
2025-09-25,13.0,9.24,14.2,6.2,1.6,83
2025-09-26,12.6,8.35,13.6,11.4,11.2,88
2025-09-27,10.6,7.06,14.0,13.6,22.6,85
2025-09-28,17.5,11.7,14.8,8.3,0.0,79
2025-09-29,32.0,20.1,16.1,5.5,0.0,76
2025-09-30,17.5,11.0,16.0,10.7,1.1,81
2025-10-01,15.9,10.4,15.4,11.8,0.9,76
2025-10-02,36.1,22.8,14.3,7.3,0.0,66
2025-10-03,50.5,30.6,13.1,5.6,0.0,74
2025-10-04,17.3,10.4,13.5,5.0,0.7,82
2025-10-05,15.5,9.95,14.7,19.6,0.9,69
2025-10-06,32.3,20.0,14.4,13.5,0.0,63
2025-10-07,52.6,32.7,14.9,8.0,0.0,75
2025-10-08,75.8,43.8,15.4,9.3,0.0,79
2025-10-09,81.4,45.5,16.1,6.5,0.0,81
2025-10-10,88.8,47.9,16.9,6.5,0.0,83
2025-10-11,83.0,44.3,16.6,5.5,0.0,86
2025-10-12,67.0,36.5,16.4,5.9,0.2,85
2025-10-13,53.4,29.9,16.3,6.2,0.3,85
2025-10-14,43.7,26.2,15.5,6.1,0.9,84
2025-10-15,32.9,20.3,15.8,7.5,0.0,79
2025-10-16,33.7,20.8,14.6,8.0,0.0,77
2025-10-17,47.9,29.1,14.0,6.0,0.0,75
2025-10-18,48.0,28.9,13.3,6.5,0.0,77
2025-10-19,51.8,30.5,12.9,6.5,0.0,77
2025-10-20,36.3,20.9,12.3,7.2,13.7,91
2025-10-21,54.2,30.9,13.2,6.0,0.7,89
2025-10-22,50.7,27.5,13.8,6.5,0.5,90
2025-10-23,12.4,7.95,13.6,12.9,9.4,91
2025-10-24,21.6,14.3,12.8,14.5,0.0,66
2025-10-25,13.5,9.05,11.2,8.0,1.9,79
2025-10-26,13.0,8.63,12.0,19.1,0.0,67
2025-10-27,41.3,26.4,11.2,11.6,0.0,62
2025-10-28,57.9,34.5,11.8,8.4,0.0,78
2025-10-29,35.4,21.3,12.3,7.8,6.0,88
2025-10-30,28.5,18.2,13.5,10.4,12.2,90
2025-10-31,42.7,24.5,14.2,6.5,1.2,93
2025-11-01,37.9,21.1,15.0,5.6,1.0,93
2025-11-02,9.71,6.38,14.2,13.2,17.4,95
2025-11-03,29.6,19.6,13.4,16.4,0.0,66
2025-11-04,44.1,29.0,10.4,4.8,0.0,82
2025-11-05,53.6,35.3,8.6,7.3,0.0,89
2025-11-06,54.1,34.4,8.0,5.6,0.0,90
2025-11-07,63.9,38.8,8.6,4.0,0.0,85
2025-11-08,79.9,45.2,8.3,7.5,0.0,83
2025-11-09,74.2,41.7,9.0,5.0,0.0,87
2025-11-10,61.6,38.0,8.4,7.5,0.0,86
2025-11-11,50.4,31.4,9.5,7.6,0.0,84
2025-11-12,46.6,29.8,10.8,8.2,0.0,86
2025-11-13,95.3,54.7,11.3,6.7,0.2,85
2025-11-14,106.0,52.2,12.2,8.1,1.4,91
2025-11-15,52.8,28.6,11.1,11.6,31.7,95
2025-11-16,25.4,15.2,11.5,11.0,32.4,97
2025-11-17,4.83,3.1,12.0,23.0,2.4,85
2025-11-18,22.9,15.3,8.9,21.1,0.0,64
2025-11-19,37.8,23.1,6.3,7.0,0.1,79
2025-11-20,27.8,17.2,6.4,9.4,3.3,81
2025-11-21,22.7,15.2,1.9,14.1,36.8,91
2025-11-22,37.1,24.3,2.4,14.3,0.0,75
2025-11-23,40.7,24.9,0.7,6.0,0.1,91
2025-11-24,53.4,32.3,3.0,6.3,2.2,92
2025-11-25,49.5,31.5,4.9,17.9,0.0,83
2025-11-26,36.1,23.6,7.2,17.2,0.0,56
2025-11-27,54.2,34.9,5.4,11.8,0.0,69
2025-11-28,69.5,44.0,2.6,6.9,0.0,87
2025-11-29,74.5,47.2,3.4,7.9,0.0,85
2025-11-30,60.2,36.3,3.7,6.2,0.0,87
2025-12-01,62.5,36.0,6.4,8.1,9.4,92
2025-12-02,75.9,46.1,7.3,5.6,0.6,94
2025-12-03,49.4,30.8,7.8,7.7,0.2,92
2025-12-04,47.5,29.8,8.8,9.3,1.3,89
2025-12-05,60.6,37.4,8.4,7.0,2.7,91
2025-12-06,61.9,39.2,5.0,8.0,0.0,94
2025-12-07,68.8,42.5,4.4,7.8,1.0,96
2025-12-08,67.3,43.5,5.7,9.5,0.0,91
2025-12-09,63.7,41.6,5.2,6.9,0.0,94
2025-12-10,91.2,57.6,6.7,7.8,0.0,90
